"code","nom","name","femme","homme"
"SYR","Syrie","Syria",78.103,67.941
"TJK","Tadjikistan","Tajikistan",73.389,68.935
"TZA","Tanzanie","Tanzania",67.233,63.643
"TCD","Tchad","Chad",55.669,52.835
"CZE","Tchèque (Rép)","Czech Republic",82.1,76.3
"THA","Thaïlande","Thailand",80.9,73.46
"TGO","Togo","Togo",61.918,60.152
"TTO","Trinité-et-Tobago","Trinidad and Tobago",76.224,70.874
"TUN","Tunisie","Tunisia",78.721,74.688
"TKM","Turkménistan","Turkmenistan",71.717,64.705
"TUR","Turquie","Turkey",80.563,74.724
"UKR","Ukraine","Ukraine",76.98,66.92
"URY","Uruguay","Uruguay",81.478,74.119
"VEN","Venezuela","Venezuela",76.004,68.327
"VNM","Vietnam","Vietnam",79.523,71.301
"YEM","Yémen","Yemen",67.826,64.443
"ZMB","Zambie","Zambia",66.891,60.848
"ZWE","Zimbabwe","Zimbabwe",62.899,59.798
"ROU","Roumanie","Romania",79.3,71.8
"GUF","Guyane Française","French Guiana",73.095,66.927
"FRA","Nouvelle Calédonie","New Caledonia",80.4,75
"BLZ","Belize","Belize",77.843,71.65
"SRB","Serbie","Serbia",78.4,73.1
"MNE","Monténégro","Montenegro",79.303,74.441
"XXK","Kosovo","Kosovo",74.8,70.3
"TWN","Taîwan","Taiwan",84.2,77.7
"SWZ","Swaziland","Swaziland",64.85,56.01
"PSE","Palestine","Palestine",77.6,72.416
